Date,Open,High,Low,Close,Volume,UnAdjustedClose,TotalVolume,OpenInterest,TotalOpenInterest,Contract
2017-04-06,2113,2118,2074,2090,24159,2090,55382,95700,282231,201707
2017-04-05,2109,2128,2091,2111,25683,2111,59023,79500,283269,201705
2017-04-04,2097,2122,2081,2110,28370,2110,65197,79500,283269,201705
2017-04-03,2092,2111,2060,2107,21781,2107,43403,85464,280040,201705
2017-03-31,2089,2107,2078,2095,18424,2095,38175,89749,282146,201705
2017-03-30,2079,2118,2055,2096,17899,2096,38277,93175,281671,201705
2017-03-29,2110,2119,2082,2086,20810,2086,40122,95103,280108,201705
2017-03-28,2161,2164,2111,2129,15536,2129,31726,97294,281950,201705
2017-03-27,2151,2180,2128,2150,18955,2150,38468,99575,284232,201705
2017-03-24,2162,2173,2126,2131,14270,2131,33555,100082,283944,201705
2017-03-23,2174,2183,2141,2176,16490,2176,39232,101340,283841,201705
2017-03-22,2157,2169,2120,2165,20514,2165,45787,104022,282885,201705
2017-03-21,2153,2187,2121,2154,32971,2154,65857,107874,281932,201705
2017-03-20,2024,2124,2013,2116,25780,2116,45481,113057,283644,201705
2017-03-17,2034,2046,2006,2013,13000,2013,20328,114459,283571,201705
2017-03-16,2055,2069,2022,2027,15036,2027,28345,115875,282580,201705
2017-03-15,2067,2079,2037,2048,17628,2048,37557,117908,283083,201705
2017-03-14,2012,2065,2006,2058,25293,2058,50116,119939,284966,201705
2017-03-13,1945,2022,1933,2017,28023,2017,54617,125994,291970,201705
2017-03-10,1890,1953,1885,1934,24862,1934,43234,129342,294275,201705
2017-03-09,1908,1920,1878,1898,22704,1898,42560,134277,297924,201705
2017-03-08,1902,1922,1896,1912,12199,1912,25516,135418,293938,201705
2017-03-07,1931,1942,1905,1917,17643,1917,37230,136024,292026,201705
2017-03-06,1965,1972,1933,1935,16164,1935,28506,135028,288019,201705
2017-03-03,1918,1963,1910,1955,21680,1955,38497,134273,285209,201705
2017-03-02,1896,1940,1869,1928,29279,1928,45453,136707,286094,201705
2017-03-01,1904,1923,1888,1897,22529,1897,37655,136976,284581,201705
2017-02-28,1970,1981,1904,1909,29796,1909,51504,136951,281942,201705
2017-02-27,1979,2008,1967,1982,19947,1982,37257,134367,276463,201705
2017-02-24,2020,2032,1987,1994,13764,1994,28173,134499,275459,201705
2017-02-23,1994,2034,1994,2026,15784,2026,24059,134595,271285,201705
2017-02-22,2000,2009,1987,1995,11311,1995,19004,134699,270855,201705
2017-02-21,1997,2013,1964,1996,18647,1996,28237,134188,269538,201705
2017-02-17,2047,2060,1988,2000,19959,2000,34342,133716,267958,201705
2017-02-16,1989,2057,1986,2042,24749,2042,39913,134243,267788,201705
2017-02-15,1907,1990,1890,1987,26012,1987,42820,133664,266576,201705
2017-02-14,1907,1943,1893,1905,23392,1905,41577,132649,261781,201705
2017-02-13,1947,1960,1921,1925,31406,1925,64983,131759,258122,201705
2017-02-10,1995,1998,1951,1962,30032,1962,59938,124078,261279,201705
2017-02-09,2008,2038,1988,1996,32748,1996,67366,115946,259301,201705
2017-02-08,2006,2028,2001,2011,30646,2011,65588,105293,257239,201705
2017-02-07,2049,2054,2011,2017,44579,2017,107454,96518,260157,201705
2017-02-06,2083,2103,2053,2059,21513,2047,53136,63953,253424,201703
2017-02-03,2086,2098,2064,2084,25938,2072,60322,71621,253184,201703
2017-02-02,2119,2121,2085,2096,20675,2084,52535,92606,266843,201703
2017-02-01,2110,2162,2107,2121,21968,2109,51192,97919,267608,201703
2017-01-31,2084,2162,2084,2115,29053,2103,64207,103290,269059,201703
2017-01-30,2110,2121,2086,2090,28830,2078,47224,108381,271202,201703
2017-01-27,2120,2133,2088,2107,25755,2095,56750,113477,272613,201703
2017-01-26,2196,2199,2136,2144,19925,2132,37302,115192,271053,201703
2017-01-25,2230,2232,2178,2204,17339,2192,29416,115247,269946,201703
2017-01-24,2178,2219,2159,2213,18219,2201,33324,118136,272785,201703
2017-01-23,2172,2194,2154,2177,16489,2165,30336,119273,273694,201703
2017-01-20,2165,2178,2135,2152,18131,2140,47439,120164,273969,201703
2017-01-19,2249,2261,2156,2176,23314,2164,45103,120044,275243,201703
2017-01-18,2251,2270,2222,2245,19073,2233,38064,120713,276810,201703
2017-01-17,2198,2264,2176,2247,26682,2235,48369,121615,278653,201703
2017-01-13,2231,2242,2202,2225,13442,2213,28720,122918,279533,201703
2017-01-12,2173,2245,2163,2242,27340,2230,53645,123882,279468,201703
2017-01-11,2214,2214,2118,2139,25122,2127,50972,123469,279395,201703
2017-01-10,2192,2226,2173,2219,13935,2207,28140,123931,278267,201703
2017-01-09,2227,2228,2153,2196,20633,2184,35826,125788,278958,201703
2017-01-06,2275,2303,2257,2273,15684,2261,26364,126213,277540,201703
2017-01-05,2249,2279,2222,2274,18004,2262,28027,126497,276587,201703
2017-01-04,2187,2258,2178,2249,22660,2237,37659,126996,277128,201703
2017-01-03,2147,2191,2131,2178,17528,2166,30584,127995,277169,201703
2016-12-30,2163,2206,2133,2138,18213,2126,57059,128207,275984,201703
2016-12-29,2217,2220,2154,2177,11424,2165,20357,126036,257902,201703
2016-12-28,2249,2251,2194,2217,10880,2205,16862,124856,254821,201703
2016-12-27,2276,2284,2218,2249,7204,2237,9202,124486,253726,201703
2016-12-23,2201,2279,2193,2276,11352,2264,16756,125979,255197,201703
2016-12-22,2290,2295,2195,2201,14864,2189,28634,126405,255347,201703
2016-12-21,2268,2299,2264,2291,10019,2279,17820,126343,252734,201703
2016-12-20,2303,2305,2260,2268,11204,2256,20522,126343,250327,201703
2016-12-19,2283,2320,2258,2315,13882,2303,19756,127247,249772,201703
2016-12-16,2241,2284,2187,2250,19770,2238,30678,128545,251259,201703
2016-12-15,2312,2318,2235,2254,17837,2242,28581,131058,252724,201703
2016-12-14,2292,2349,2272,2327,18300,2315,26998,130965,251934,201703
2016-12-13,2286,2311,2252,2301,20025,2289,32897,132939,255302,201703
2016-12-12,2172,2292,2156,2252,31100,2240,50204,134471,257296,201703
2016-12-09,2254,2255,2173,2182,34958,2170,63155,135600,257501,201703
2016-12-08,2352,2360,2254,2284,21407,2272,36842,136589,255010,201703
2016-12-07,2354,2355,2307,2336,19357,2324,31302,137046,254125,201703
2016-12-06,2384,2388,2334,2370,18860,2358,29836,137884,253550,201703
2016-12-05,2401,2404,2362,2379,17399,2367,23584,139772,253340,201703
2016-12-02,2418,2422,2354,2407,20091,2395,33959,141107,253637,201703
2016-12-01,2393,2440,2393,2418,20516,2406,28503,142716,251644,201703
2016-11-30,2430,2439,2383,2401,18691,2389,32474,143216,250998,201703
2016-11-29,2417,2440,2399,2427,15212,2415,24330,141192,246969,201703
2016-11-28,2429,2442,2408,2414,11908,2402,21177,142722,246671,201703
2016-11-25,2445,2457,2412,2427,9819,2415,15914,142888,245220,201703
2016-11-23,2448,2464,2420,2451,11944,2439,18045,143671,244044,201703
2016-11-22,2437,2467,2435,2452,13973,2440,22873,142618,242224,201703
2016-11-21,2438,2470,2433,2443,14025,2431,20446,142857,241076,201703
2016-11-18,2432,2451,2417,2437,15669,2425,29934,142248,238941,201703
2016-11-17,2428,2439,2370,2431,23710,2419,37818,144533,239935,201703
2016-11-16,2409,2434,2402,2423,15266,2411,24487,146488,240123,201703
2016-11-15,2419,2428,2397,2407,19840,2395,32140,146396,236765,201703
2016-11-14,2469,2487,2419,2430,25357,2418,42997,143823,233961,201703
2016-11-11,2474,2500,2459,2483,27629,2471,47036,142322,235410,201703
2016-11-10,2462,2474,2434,2453,28908,2441,50857,138903,236215,201703
2016-11-09,2470,2501,2457,2463,26020,2451,45874,133691,235622,201703
2016-11-08,2462,2497,2456,2477,35435,2465,74421,132644,239219,201703
2016-11-07,2553,2553,2449,2457,39227,2445,82338,132318,248193,201703
2016-11-04,2640,2660,2538,2544,28399,2532,74661,128683,255152,201703
