Date,Open,High,Low,Close,Volume,UnAdjustedClose,TotalVolume,OpenInterest,TotalOpenInterest,Contract
2017-04-06,1257.6,1260.9,1251.3,1253.3,156206,1253.3,164770,306347,425687,201706
2017-04-05,1258.2,1259.3,1245.4,1248.5,230695,1248.5,241639,307520,427808,201706
2017-04-04,1255.5,1263.7,1255.5,1258.4,151708,1258.4,159431,301526,421066,201706
2017-04-03,1251.9,1255.9,1246.4,1254,131036,1254,143429,298781,417554,201706
2017-03-31,1244.6,1252.8,1241.5,1251.2,136739,1251.2,175160,293898,414893,201706
2017-03-30,1256.1,1256.5,1244.2,1248,217657,1248,278814,293898,414893,201706
2017-03-29,1253,1257.5,1250,1256.8,166685,1256.8,368601,282695,428780,201706
2017-03-28,1257.1,1261.4,1250.5,1258.8,111014,1258.8,363199,260178,449418,201706
2017-03-27,1247.2,1264.2,1247.2,1258.8,70825,1258.8,325400,238996,472405,201706
2017-03-24,1248.2,1255,1243.7,1251.7,51108,1251.7,264633,215599,463025,201706
2017-03-23,1251.5,1256.4,1245.6,1250.1,39791,1250.1,289174,199172,459089,201706
2017-03-22,1247.4,1254.4,1246.7,1252.6,216447,1249.7,252780,165205,452857,201704
2017-03-21,1237.1,1250.6,1229.5,1249.4,285634,1246.5,341086,170923,446880,201704
2017-03-20,1231.9,1238.4,1231.7,1236.9,126337,1234,145655,172579,430386,201704
2017-03-17,1229.1,1234.4,1226.9,1233.1,153151,1230.2,185227,179914,429290,201704
2017-03-16,1222.4,1236.9,1221,1230,257887,1227.1,282822,182880,425717,201704
2017-03-15,1201.6,1224.9,1199.7,1203.6,264336,1200.7,289595,190540,430847,201704
2017-03-14,1206.4,1210.4,1199.8,1205.5,183719,1202.6,219465,190941,426170,201704
2017-03-13,1207.9,1213.8,1204.9,1206,173917,1203.1,205069,199957,426020,201704
2017-03-10,1203.1,1209.1,1197.4,1204.3,257842,1201.4,285574,204831,418427,201704
2017-03-09,1210.6,1211.8,1201.9,1206.1,233510,1203.2,264499,216702,425837,201704
