Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,1.596,1.6175,1.5946,1.6129,47851,1.6129,118140,116605,423042,201705
2017-04-05,1.5982,1.6223,1.5927,1.6035,60715,1.6035,143431,122373,421223,201705
2017-04-04,1.5634,1.5985,1.5527,1.5923,46340,1.5923,110800,125121,424797,201705
2017-04-03,1.5729,1.5872,1.5605,1.5634,58924,1.5634,118983,127326,419011,201705
2017-03-31,1.5646,1.5807,1.5476,1.5746,42676,1.5746,104939,132614,425956,201705
2017-03-30,1.5454,1.566,1.5344,1.5605,58294,1.5605,143343,132614,425956,201705
2017-03-29,1.5219,1.5482,1.5209,1.546,57532,1.546,144525,124499,419058,201705
2017-03-28,1.5064,1.5413,1.5048,1.5201,67915,1.5201,184689,122369,418596,201705
2017-03-27,1.5107,1.5149,1.4827,1.5085,50274,1.5085,121378,118225,421611,201705
2017-03-24,1.4969,1.5134,1.4926,1.5039,49832,1.5039,125281,113874,421760,201705
2017-03-23,1.5068,1.5153,1.4948,1.497,42584,1.497,109860,107707,419489,201705
2017-03-22,1.5097,1.5149,1.4825,1.5042,51070,1.5042,140557,103214,421726,201705
2017-03-21,1.521,1.5428,1.5042,1.5103,45035,1.5103,137294,100599,420771,201705
2017-03-20,1.5184,1.533,1.4996,1.5209,33190,1.5209,111944,98032,421223,201705
2017-03-17,1.5114,1.5234,1.5055,1.5151,24071,1.5151,101545,93959,421592,201705
2017-03-16,1.5229,1.5363,1.508,1.511,29638,1.511,125896,91855,420752,201705
2017-03-15,1.5185,1.528,1.5083,1.5191,48277,1.5124,153113,82225,418934,201704
2017-03-14,1.5069,1.5193,1.4851,1.4986,49585,1.4919,132635,87205,424538,201704
2017-03-13,1.5183,1.5232,1.501,1.5073,54427,1.5006,148398,87726,418814,201704
2017-03-10,1.5422,1.5529,1.5068,1.5103,66211,1.5036,173768,86346,411455,201704
2017-03-09,1.56,1.5781,1.5215,1.5362,83582,1.5295,223643,87467,402141,201704
2017-03-08,1.6243,1.6314,1.5569,1.5634,89258,1.5567,241028,91093,396296,201704
2017-03-07,1.6162,1.6451,1.6086,1.6206,77592,1.6139,187054,90937,393821,201704
2017-03-06,1.5983,1.6208,1.5863,1.6112,57530,1.6045,145387,98665,396759,201704
2017-03-03,1.5817,1.6032,1.5808,1.6003,56822,1.5936,129988,103935,397203,201704
2017-03-02,1.6334,1.6407,1.5847,1.5858,89493,1.5791,232227,107095,399284,201704
2017-03-01,1.6466,1.6662,1.6288,1.6308,71156,1.6241,173855,114294,400983,201704
2017-02-28,1.6556,1.6607,1.6052,1.6466,108885,1.6399,267728,120505,405810,201704
2017-02-27,1.6542,1.6795,1.6516,1.655,56187,1.6483,128771,119623,410976,201704
2017-02-24,1.669,1.6722,1.6444,1.6549,61428,1.6482,138441,114864,416263,201704
2017-02-23,1.6537,1.6969,1.6529,1.6724,74295,1.6657,172891,114294,424723,201704
2017-02-22,1.66,1.6695,1.6242,1.6458,81888,1.6391,204131,109360,430813,201704
2017-02-21,1.6579,1.6915,1.6532,1.6595,81759,1.6528,216067,107406,437684,201704
2017-02-17,1.6457,1.6545,1.6293,1.6533,57321,1.6466,179424,97839,433303,201704
2017-02-16,1.6485,1.666,1.6306,1.6474,52768,1.6407,173302,93300,437465,201704
2017-02-15,1.6503,1.665,1.6384,1.6488,56967,1.6305,181555,83296,442798,201703
2017-02-14,1.6447,1.6742,1.6421,1.6565,53335,1.6382,163736,90899,441884,201703
2017-02-13,1.6844,1.6907,1.6372,1.6456,69230,1.6273,206627,97216,442243,201703
2017-02-10,1.6585,1.6941,1.6563,1.6842,56340,1.6659,150959,104401,433720,201703
2017-02-09,1.6543,1.6807,1.6528,1.6598,59098,1.6415,176370,107494,427750,201703
