Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,3.269,3.337,3.235,3.331,157375,3.331,410081,301698,1424546,201705
2017-04-05,3.293,3.347,3.254,3.266,182263,3.266,421639,311999,1419938,201705
2017-04-04,3.145,3.301,3.121,3.293,204918,3.293,522968,303324,1387393,201705
2017-04-03,3.217,3.239,3.125,3.128,117945,3.128,316570,306520,1381749,201705
2017-03-31,3.199,3.242,3.163,3.19,125902,3.19,297091,308378,1374366,201705
2017-03-30,3.21,3.237,3.141,3.191,133288,3.191,314519,308378,1374366,201705
2017-03-29,3.169,3.253,3.161,3.231,158644,3.231,365865,318039,1374906,201705
2017-03-28,3.125,3.188,3.091,3.177,152971,3.177,367837,314260,1364396,201705
2017-03-27,3.191,3.208,3.124,3.131,112699,3.131,317100,311779,1373526,201705
2017-03-24,3.13,3.162,3.095,3.153,89684,3.153,321086,306645,1366710,201705
2017-03-23,3.085,3.142,3.056,3.131,120259,3.131,466461,295033,1355714,201705
2017-03-22,3.147,3.157,3.069,3.073,102135,3.073,387547,289197,1345537,201705
2017-03-21,3.134,3.167,3.09,3.155,104055,3.155,401872,291798,1356374,201705
2017-03-20,2.972,3.136,2.966,3.098,80301,3.098,344207,285452,1354267,201705
2017-03-17,2.977,3.02,2.943,3.004,57364,3.004,255870,277560,1351136,201705
2017-03-16,3.031,3.038,2.955,2.967,90394,2.967,447622,274219,1368008,201705
2017-03-15,3.007,3.063,2.985,3.04,73647,3.04,324221,270310,1365214,201705
2017-03-14,3.086,3.118,2.984,2.993,84137,2.993,398824,266482,1356002,201705
2017-03-13,3.149,3.149,3.054,3.107,96482,3.107,398787,275808,1367743,201705
2017-03-10,3.058,3.106,3.035,3.074,98071,3.074,453954,265813,1358077,201705
2017-03-09,2.995,3.06,2.974,3.046,102957,3.046,448974,259450,1361761,201705
2017-03-08,2.907,3.021,2.905,2.973,200061,2.901,492500,220908,1368352,201704
2017-03-07,2.944,2.962,2.887,2.896,166482,2.824,387598,234437,1366662,201704
2017-03-06,2.983,3.024,2.929,2.973,216887,2.901,589957,257878,1364391,201704
2017-03-03,2.888,2.912,2.847,2.899,155244,2.827,416820,268204,1381864,201704
2017-03-02,2.863,2.907,2.802,2.876,173316,2.804,441201,268741,1378483,201704
2017-03-01,2.842,2.9,2.815,2.871,154834,2.799,487230,268648,1355076,201704
2017-02-28,2.763,2.86,2.725,2.846,183619,2.774,451587,276722,1332711,201704
2017-02-27,2.787,2.793,2.731,2.765,127547,2.693,289219,274465,1308171,201704
2017-02-24,2.825,2.871,2.803,2.859,143588,2.787,355724,271577,1292339,201704
2017-02-23,2.774,2.885,2.764,2.821,214256,2.749,516280,261842,1275970,201704
2017-02-22,2.771,2.825,2.713,2.773,171382,2.701,497932,258861,1284144,201704
2017-02-21,2.985,2.985,2.753,2.763,261456,2.691,818960,257868,1277817,201704
2017-02-17,3.024,3.065,3.018,3.023,97669,2.951,406014,231483,1255672,201704
2017-02-16,3.116,3.134,3.021,3.043,104149,2.971,429730,225182,1274708,201704
2017-02-15,3.103,3.162,3.095,3.109,93306,3.037,405310,218536,1268659,201704
2017-02-14,3.078,3.119,3.058,3.077,107917,3.005,475533,209711,1271386,201704
2017-02-13,3.15,3.166,3.093,3.116,162673,2.944,493339,137001,1263655,201703
2017-02-10,3.277,3.293,3.177,3.206,188162,3.034,559304,152902,1236331,201703
2017-02-09,3.315,3.361,3.282,3.313,162281,3.141,460068,169572,1207130,201703
2017-02-08,3.312,3.336,3.232,3.298,159476,3.126,465399,197215,1201852,201703
