Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,808,812.35,796,804.1,4214,804.1,4380,33307,34395,201706
2017-04-05,807.7,816.45,801.8,807.75,4032,807.75,4494,32946,33938,201706
2017-04-04,802.1,810.35,801.9,806.95,3905,806.95,3935,32677,33286,201706
2017-04-03,797.75,805.7,795,802.55,3163,802.55,3251,32456,33045,201706
2017-03-31,792.8,801.95,791.6,798.15,2758,798.15,2792,32343,32866,201706
2017-03-30,790.5,804.95,786.7,797.5,3272,797.5,3291,32105,32617,201706
2017-03-29,790.8,796,785,790.2,2558,790.2,2573,31934,32450,201706
2017-03-28,794,797.95,785.05,792.6,3483,792.6,3501,31673,32200,201706
2017-03-27,811.9,812.65,793.55,794.45,5070,794.45,5098,31785,32327,201706
2017-03-24,802,815.8,799.2,813.35,4085,813.35,4104,31261,31787,201706
2017-03-23,788.05,809.95,786.9,800.15,5800,800.15,5827,31261,31787,201706
2017-03-22,786.85,795.2,781.75,789.45,3870,789.45,3900,29883,30399,201706
2017-03-21,781.85,793.8,777.4,787.65,4698,787.65,4736,29089,29594,201706
2017-03-20,776.95,785.65,772.65,781.65,2836,781.65,2846,28222,28696,201706
2017-03-17,765.7,779.95,764.5,775.8,3541,775.8,3554,27887,28354,201706
2017-03-16,761.4,775.85,760.8,766.65,4827,766.65,4841,27432,27898,201706
2017-03-15,742.5,766.5,741.4,745.45,4776,745.45,4833,27109,27574,201706
2017-03-14,752.9,754.5,740.7,741.7,2852,741.7,2867,27402,27837,201706
2017-03-13,748.8,758.05,746.15,754.45,3069,754.45,3115,27933,28367,201706
2017-03-10,746.65,753.75,741.8,745.15,4831,745.15,5041,28108,28541,201706
2017-03-09,769.4,771.65,746.95,748.05,7413,748.05,7473,28193,28431,201706
2017-03-08,771.9,774.75,765.5,770.4,4162,770.4,4220,28172,28414,201706
2017-03-07,774.25,777.9,763.1,775,5062,775,5113,27711,27966,201706
2017-03-06,770.75,778.55,765.65,773.15,3625,773.15,3689,27483,27752,201706
2017-03-03,767.5,775.15,754.5,767.7,4508,767.7,4602,27455,27740,201706
2017-03-02,776.25,777.2,766.1,769.75,3788,769.75,3960,27545,27804,201706
2017-03-01,771.2,783.9,769.05,779,4974,779,5136,27825,28170,201706
2017-02-28,782.95,786.75,768.05,771.7,3951,771.7,4150,27241,27645,201706
2017-02-27,772.75,789.7,769.05,785,5961,785,8298,27115,27560,201706
2017-02-24,773.5,786.8,770.4,772.95,5877,772.95,9981,25923,28383,201706
2017-02-23,771.1,780.8,763.3,774.6,7580,774.6,16754,23952,29272,201706
2017-02-22,781.9,786,766.2,770.2,4115,770.2,10736,22128,29679,201706
2017-02-21,776,783.15,764.25,779.95,10321,778.8,16777,10101,30322,201703
2017-02-17,793.8,796.1,774.5,780.35,5810,779.2,9056,14746,30611,201703
2017-02-16,789.7,797,787.95,794.45,3714,793.3,5437,17157,30868,201703
2017-02-15,783.6,792.6,777.95,787.35,5484,786.2,7722,18472,31023,201703
2017-02-14,776.15,786.05,774.8,782.05,3776,780.9,5529,19311,30408,201703
2017-02-13,785.75,788.95,773.8,776.1,5428,774.95,8124,20242,30351,201703
2017-02-10,770.2,787.85,765.4,784.25,4370,783.1,5203,22035,30347,201703
2017-02-09,771.75,779.95,769.15,773.7,3858,772.55,5286,22071,29855,201703
2017-02-08,764.05,774.8,760.1,770.9,4121,769.75,5691,22948,29470,201703
2017-02-07,774.05,775.25,755.95,765.6,4036,764.45,4747,24157,29331,201703
2017-02-06,750.15,776.15,746.55,775.45,4016,774.3,4638,24576,29253,201703
2017-02-03,759.65,762.1,742.35,750.15,3602,749,4093,24539,28728,201703
2017-02-02,765.6,772.05,758.7,760.2,3742,759.05,4455,24800,28671,201703
2017-02-01,757.15,768.65,755.15,764.05,3995,762.9,4971,25176,28714,201703
2017-01-31,740.75,760.15,740.05,755.45,3903,754.3,4285,25732,28488,201703
2017-01-30,741.8,744.85,727.25,739.6,2558,738.45,2723,25908,28470,201703
