Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,964.5,966,953.8,958.9,8013,958.9,8176,59396,63498,201707
2017-04-05,964.3,972.2,955.9,959.6,11567,959.6,11858,59621,63741,201707
2017-04-04,960.1,968.2,956.9,964.5,10759,964.5,10915,59789,63868,201707
2017-04-03,952,960.7,949.2,958.2,10154,958.2,10493,59452,63666,201707
2017-03-31,951.7,954,942.8,952.4,9545,952.4,12406,58226,62748,201707
2017-03-30,958,963.5,950,955.7,9069,955.7,15496,56760,63057,201707
2017-03-29,958.4,960.2,951.5,956.3,12212,956.3,29989,53565,66094,201707
2017-03-28,972.8,974.5,952.7,960.7,11183,960.7,30723,49315,65005,201707
2017-03-27,971.3,987.8,970.6,972.4,11541,972.4,34141,44182,65746,201707
2017-03-24,965.9,973.7,961.1,971.2,6177,971.2,21200,40532,65632,201707
2017-03-23,968,975.1,960.7,967.6,6146,967.6,21093,40532,65632,201707
2017-03-22,975.3,978.3,964.3,965.7,21665,961.9,32387,24753,65747,201704
2017-03-21,975.4,980.8,963.9,975.2,18378,971.4,23657,32160,67455,201704
2017-03-20,971.6,977.1,965.9,976.2,11598,972.4,15079,35814,67726,201704
2017-03-17,962.6,970.4,957.4,966.8,11914,963,14413,38124,68283,201704
2017-03-16,958.8,977.6,957.1,962.2,19514,958.4,22734,39189,67977,201704
2017-03-15,942.3,959.8,936.7,940.6,17486,936.8,20922,40143,66928,201704
2017-03-14,944.3,949,940.5,942.7,12083,938.9,16371,41135,66039,201704
2017-03-13,947.8,953,942.5,945,13304,941.2,15020,42549,65802,201704
2017-03-10,941.3,951.8,939.3,942,21044,938.2,22729,43569,65718,201704
2017-03-09,952.8,957.9,939.1,941,21281,937.2,23239,44973,66363,201704
2017-03-08,966.1,969.3,950.4,953.3,20765,949.5,22817,45704,65885,201704
2017-03-07,984.4,985.5,964.2,964.9,24561,961.1,30289,49109,68200,201704
2017-03-06,1005.1,1007.4,981.5,982,16217,978.2,17826,52820,68622,201704
2017-03-03,992.3,1004.8,989.3,997.9,17039,994.1,18909,53700,68432,201704
2017-03-02,1022.7,1024.3,987.3,993.7,23829,989.9,27190,56306,69953,201704
2017-03-01,1029.9,1034,1018.4,1022.7,18906,1018.9,21305,58640,71144,201704
2017-02-28,1035.8,1042.7,1027.9,1034.8,19251,1031,21717,59904,71200,201704
2017-02-27,1032.8,1051.6,1031.1,1042.7,19693,1038.9,20451,61214,71260,201704
2017-02-24,1015.9,1035.8,1014.7,1032.5,17665,1028.7,18759,60657,70329,201704
2017-02-23,1008.6,1024.4,1001.2,1015.7,16740,1011.9,17348,58558,67444,201704
2017-02-22,1009.7,1012.2,1002.3,1006.5,11014,1002.7,12869,58247,66794,201704
2017-02-21,1010.3,1012.6,994.3,1009.8,18242,1006,19179,57778,65938,201704
2017-02-17,1020.3,1022.9,1007.4,1009.8,10544,1006,11022,58283,65925,201704
2017-02-16,1018.3,1025.5,1015.1,1019.5,11594,1015.7,13663,58470,65750,201704
2017-02-15,1008.4,1018.3,994.2,1013.7,15634,1009.9,16926,58736,65760,201704
2017-02-14,1004.9,1015.7,1002.5,1006,11699,1002.2,12096,58657,65179,201704
2017-02-13,1015.8,1018,999.3,1004.1,10693,1000.3,10938,58801,65199,201704
2017-02-10,1021.2,1021.3,996.9,1015.5,20611,1011.7,21131,59299,65648,201704
2017-02-09,1023.4,1035.9,1020,1026,14111,1022.2,14702,59886,66110,201704
2017-02-08,1013,1026.1,1009.3,1023.2,12290,1019.4,12986,59479,65580,201704
2017-02-07,1021.8,1021.8,1010,1016.7,9758,1012.9,10042,59098,64811,201704
2017-02-06,1009.5,1022.4,1008.4,1017.9,11832,1014.1,12015,59436,65085,201704
2017-02-03,1007.7,1011.4,991.8,1010.5,13515,1006.7,13806,59138,64694,201704
2017-02-02,1005,1018.8,1002.3,1003.4,14644,999.6,14845,59321,64788,201704
2017-02-01,1000.9,1007.7,998.3,1003.6,12166,999.8,12398,59139,64502,201704
2017-01-31,995.6,1006.6,993.1,1000.3,14906,996.5,15078,59296,64552,201704
2017-01-30,992.3,998.9,982,997.3,10859,993.5,11003,58754,64017,201704
2017-01-27,984.5,992.3,968.5,987.1,12574,983.3,12830,58112,63374,201704
2017-01-26,987.2,994.8,973.7,985.5,13064,981.7,13407,57759,62987,201704
2017-01-25,1003.9,1008,979.6,985.5,21510,981.7,21758,57453,62610,201704
