Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,1.7144,1.732,1.7087,1.7296,47913,1.7296,136580,126330,397825,201705
2017-04-05,1.7269,1.7374,1.7041,1.7153,73424,1.7153,188129,127624,389010,201705
2017-04-04,1.695,1.7283,1.6839,1.7217,62774,1.7217,150599,131754,387964,201705
2017-04-03,1.7007,1.715,1.6893,1.6937,64040,1.6937,146250,135101,388106,201705
2017-03-31,1.6837,1.71,1.6664,1.703,51038,1.703,143140,131266,385390,201705
2017-03-30,1.6739,1.6947,1.6649,1.6837,54153,1.6837,159780,132783,384929,201705
2017-03-29,1.6335,1.6753,1.6301,1.6734,79904,1.6734,218709,133889,389740,201705
2017-03-28,1.6256,1.6584,1.6221,1.6364,67433,1.6364,187861,129836,386164,201705
2017-03-27,1.6217,1.6277,1.5996,1.6263,42837,1.6263,117901,128524,393645,201705
2017-03-24,1.5996,1.6245,1.5924,1.6154,47281,1.6154,129099,126979,398667,201705
2017-03-23,1.6125,1.6209,1.5916,1.6013,47252,1.6013,129022,126979,398667,201705
2017-03-22,1.6221,1.624,1.5942,1.6125,74353,1.6125,189473,123996,394786,201705
2017-03-21,1.6248,1.6475,1.611,1.617,51059,1.617,147124,125346,397562,201705
2017-03-20,1.6092,1.6377,1.5971,1.6248,41163,1.6248,150947,125681,400106,201705
2017-03-17,1.609,1.6257,1.6044,1.6148,34867,1.6148,125439,123716,404062,201705
2017-03-16,1.6116,1.6285,1.5986,1.612,35909,1.612,147647,121630,404206,201705
2017-03-15,1.621,1.6289,1.5985,1.6039,49066,1.6039,185456,121330,405854,201705
2017-03-14,1.6018,1.6207,1.5824,1.6019,50123,1.6019,177337,117311,404068,201705
2017-03-13,1.6098,1.6142,1.5961,1.6028,43340,1.6028,165829,112204,402716,201705
2017-03-10,1.6422,1.6602,1.6095,1.6184,44358,1.6184,176605,110111,401662,201705
2017-03-09,1.6654,1.6853,1.625,1.6426,102102,1.6243,299511,84492,405729,201704
2017-03-08,1.7181,1.7255,1.6618,1.6709,108979,1.6526,313197,94312,400981,201704
