Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,151.875,152,151.09375,151.71875,197799,151.71875,197820,652115,652200,201706
2017-04-05,151.5625,152.09375,150.84375,151.5,279312,151.5,279400,639961,640036,201706
2017-04-04,152.3125,152.40625,151.46875,151.65625,222698,151.65625,222768,639961,640036,201706
2017-04-03,150.96875,152.375,150.65625,151.75,305800,151.75,305809,635641,635699,201706
2017-03-31,150.4375,151,150.15625,150.84375,263198,150.84375,263199,630598,630656,201706
2017-03-30,151.28125,151.5,150.34375,150.53125,190760,150.53125,190770,629646,629699,201706
2017-03-29,150.53125,151.40625,150.375,151.21875,205279,151.21875,205280,624556,624610,201706
2017-03-28,151.34375,151.875,150.4375,150.78125,225647,150.78125,225670,624700,624754,201706
2017-03-27,150.90625,152.09375,150.84375,151.46875,197718,151.46875,197720,621012,621063,201706
2017-03-24,150.5,151.1875,150.1875,151.09375,187736,151.09375,187770,622221,622270,201706
2017-03-23,150.65625,151.0625,150.09375,150.53125,258848,150.53125,258895,622221,622270,201706
2017-03-22,150.15625,151.15625,150.125,150.78125,314203,150.78125,314297,628788,629194,201706
2017-03-21,149.21875,150.28125,148.5,149.90625,333914,149.90625,334123,632729,633163,201706
2017-03-20,148.46875,149.28125,148.1875,149,161722,149,161831,637424,637973,201706
2017-03-17,147.46875,148.625,147.46875,148.4375,175817,148.4375,176574,639882,640494,201706
2017-03-16,148.46875,148.625,147.4375,147.875,226510,147.875,227206,641311,642171,201706
2017-03-15,146.75,148.53125,146.71875,148.28125,299466,148.28125,299998,642631,643961,201706
2017-03-14,145.96875,147.03125,145.8125,146.84375,217263,146.84375,219601,644926,646584,201706
2017-03-13,146.9375,147.3125,145.9375,146.375,183359,146.375,185297,660769,663111,201706
2017-03-10,146.6875,147.09375,146.40625,146.84375,351765,146.84375,353180,657667,660815,201706
2017-03-09,147.8125,147.9375,146.59375,146.8125,289893,146.8125,290965,664543,668283,201706
2017-03-08,148.65625,148.90625,147.28125,147.90625,336808,147.90625,339048,666372,670557,201706
2017-03-07,149,149.25,148.625,148.84375,187279,148.84375,189251,666548,673380,201706
2017-03-06,149.3125,149.9375,148.78125,149.0625,199879,149.0625,204185,669344,676961,201706
2017-03-03,149.28125,149.5,148.6875,149.25,276377,149.25,281392,664752,674997,201706
2017-03-02,149.71875,149.75,148.71875,149.09375,241370,149.09375,249887,653551,666032,201706
2017-03-01,151.15625,151.1875,149.21875,149.4375,378329,149.4375,406303,648748,664205,201706
