Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,31.87,32.01,31.26,31.37,45404,31.37,90238,162974,424382,201705
2017-04-05,31.39,32.01,31.37,31.83,54085,31.83,106659,170538,423906,201705
2017-04-04,31.49,31.71,31.23,31.43,69843,31.43,137735,170538,423906,201705
2017-04-03,31.78,32.1,31.35,31.42,46842,31.42,93644,179781,426683,201705
2017-03-31,31.91,32.11,31.35,31.78,80316,31.78,150989,177034,416110,201705
2017-03-30,32.25,32.32,31.47,32.01,71132,32.01,126769,176425,397392,201705
2017-03-29,32.44,32.65,32.17,32.21,44009,32.21,75001,180960,400297,201705
2017-03-28,32.32,32.64,32.18,32.47,44017,32.47,76492,183968,403858,201705
2017-03-27,32.26,32.39,31.65,32.29,55442,32.29,96035,182610,399714,201705
2017-03-24,33.16,33.29,32.2,32.23,64833,32.23,116819,185156,393635,201705
2017-03-23,33.55,33.94,33.13,33.22,84304,33.22,151904,185156,393635,201705
2017-03-22,33.15,33.59,32.75,33.52,90758,33.52,171535,189724,396809,201705
2017-03-21,32.79,33.3,32.59,33.14,81268,33.14,143380,200265,401913,201705
2017-03-20,32.49,32.89,32.37,32.74,57017,32.74,87410,194027,393460,201705
2017-03-17,32.27,32.53,32.2,32.3,46068,32.3,86620,193794,391992,201705
2017-03-16,32.3,32.57,32.11,32.26,61940,32.26,95454,191855,388620,201705
2017-03-15,32.28,32.69,32.12,32.22,52740,32.22,85423,189387,384182,201705
2017-03-14,32.11,32.4,31.69,32.3,62178,32.3,102140,188308,380049,201705
2017-03-13,32.65,32.94,32.08,32.12,54626,32.12,90086,183152,372263,201705
2017-03-10,33.25,33.27,32.61,32.68,40198,32.68,64929,178753,366606,201705
2017-03-09,33.54,33.67,33.03,33.11,53138,33.11,93261,179370,366454,201705
2017-03-08,33.75,33.99,33.4,33.54,54882,33.54,101993,179769,366326,201705
2017-03-07,34.3,34.32,33.41,33.73,66111,33.73,108061,182907,367689,201705
2017-03-06,34.45,34.6,34.04,34.27,42880,34.27,72946,181848,367595,201705
2017-03-03,34.16,34.44,33.84,34.38,46727,34.38,77168,183643,368426,201705
2017-03-02,34.64,34.68,34.08,34.13,54548,34.13,90325,182758,366595,201705
2017-03-01,34.11,34.81,33.78,34.74,80692,34.74,133951,183041,362589,201705
2017-02-28,32.56,34.74,32.55,33.93,175630,33.93,297296,190463,366440,201705
2017-02-27,32.81,32.86,32.35,32.63,66715,32.63,130728,192086,369741,201705
2017-02-24,32.65,32.93,32.6,32.67,68363,32.67,131760,186724,371664,201705
2017-02-23,33.08,33.19,32.51,32.59,68933,32.59,137024,186318,390000,201705
2017-02-22,32.99,33.39,32.9,33,86408,33,180009,177186,385338,201705
2017-02-21,33.15,33.44,32.77,32.95,74583,32.95,178925,166764,387867,201705
2017-02-17,33.91,33.93,33.12,33.16,74092,33.16,203664,159887,390522,201705
2017-02-16,34.26,34.38,33.76,33.81,42367,33.81,140737,151080,390029,201705
2017-02-15,34.43,34.7,34.2,34.22,34210,34.22,117656,147445,388780,201705
2017-02-14,34.45,34.6,34.02,34.41,34958,34.41,115956,141581,379239,201705
2017-02-13,34.9,34.95,34.41,34.44,45063,34.44,130352,141089,386222,201705
2017-02-10,34.93,35.23,34.63,34.88,56576,34.61,121542,103394,384052,201703
2017-02-09,34.94,35.25,34.74,34.94,63932,34.67,137698,110418,381883,201703
2017-02-08,34.54,35.1,34.52,34.96,75489,34.69,153868,123991,388326,201703
2017-02-07,34.75,34.91,34.36,34.57,68863,34.3,135516,139515,397899,201703
