Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,222.75,222.75,218,218.75,420,218.75,650,4075,6891,201705
2017-04-05,223.25,224.25,220,222.5,375,222.5,581,4132,6827,201705
2017-04-04,225.5,225.5,221.75,222.75,299,222.75,463,4132,6827,201705
2017-04-03,224.25,225.5,221.5,225.5,1122,225.5,1413,4188,6789,201705
2017-03-31,226.5,227.75,221.25,224.25,849,224.25,1268,3744,6179,201705
2017-03-30,231.25,231.25,226,227.25,1015,227.25,1339,4278,6367,201705
2017-03-29,234,234.5,229,231.25,419,231.25,657,4469,6532,201705
2017-03-28,241.25,242,234,235,701,235,1099,4575,6521,201705
2017-03-27,248.5,248.5,239.25,240.5,368,240.5,540,4627,6492,201705
2017-03-24,247.75,250.25,245.75,246.25,123,246.25,209,4625,6458,201705
2017-03-23,253.25,253.25,246.75,248,257,248,438,4625,6458,201705
2017-03-22,253.5,254,250.25,251.5,262,251.5,296,4665,6382,201705
2017-03-21,248.5,254,248,253.75,177,253.75,191,4645,6355,201705
2017-03-20,250.75,251.75,247,250.75,178,250.75,296,4629,6337,201705
2017-03-17,250.5,252.5,247,250,682,250,895,4623,6325,201705
2017-03-16,257,258,249,249.25,336,249.25,439,4638,6257,201705
2017-03-15,254,258,251.5,257.25,211,257.25,324,4650,6277,201705
2017-03-14,245,256.75,244,253.75,1008,253.75,1143,4629,6261,201705
2017-03-13,247,247.75,243.5,246,185,246,268,5170,6768,201705
2017-03-10,239.75,247.5,239.25,246.25,194,246.25,221,5218,6809,201705
2017-03-09,243.5,244.25,239.25,240.5,183,240.5,220,5227,6819,201705
2017-03-08,239,244,237.25,243.75,230,243.75,328,5267,6871,201705
2017-03-07,245.5,246,238,240,368,240,538,5312,6944,201705
2017-03-06,243,246.5,241.75,245,262,245,488,5409,7054,201705
2017-03-03,237.5,243.75,237.25,242.25,373,242.25,505,5489,7069,201705
2017-03-02,245.75,248.25,235.25,238.25,744,238.25,1114,5641,7192,201705
2017-03-01,246.75,250,244.5,246.5,248,246.5,347,5660,7220,201705
2017-02-28,243.5,248.5,243,244.25,387,244.25,587,5632,7190,201705
2017-02-27,249.75,249.75,242,243,573,243,1424,5694,7502,201705
2017-02-24,252.5,252.5,248,250,341,250,834,5761,7882,201705
2017-02-23,252.5,253,251,252.75,276,252.75,535,5700,8099,201705
2017-02-22,250.75,254.25,249.75,252.75,468,252.75,914,5564,8136,201705
2017-02-21,252.25,253,247.75,250.75,605,250.75,1303,5171,8083,201705
2017-02-17,251.75,253,247,251.25,551,251.25,1246,4813,8185,201705
2017-02-16,248.75,254,248.75,251.5,577,251.5,1122,4697,8317,201705
2017-02-15,248.5,249.5,244.75,246.25,950,250.5,1777,2895,8290,201703
2017-02-14,248.75,251.75,248.25,249.75,441,254,859,3503,8267,201703
2017-02-13,253,256.5,248.25,250.5,637,254.75,1246,3671,8208,201703
