Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-04-06,944,946.5,938.5,941.5,76543,941.5,150570,304383,749429,201705
2017-04-05,937.5,948.5,937.25,944.25,159801,944.25,271651,314909,741939,201705
2017-04-04,939.25,942.75,936.5,937.75,120200,937.75,204331,314909,741939,201705
2017-04-03,946.25,949.25,937.25,938.25,94599,938.25,182516,315377,738449,201705
2017-03-31,961.75,966.5,944.25,946,182739,946,343386,316642,728760,201705
2017-03-30,969.5,970,961,963,78218,963,134391,305003,706993,201705
2017-03-29,970.5,976,967.25,969,91245,969,153470,308980,708598,201705
2017-03-28,971.25,976.5,970,972,85114,972,141799,309613,706259,201705
2017-03-27,976,978.5,968.25,971.5,83957,971.5,136680,312909,707826,201705
2017-03-24,990.5,991,972.25,975.75,98567,975.75,171648,316288,709100,201705
2017-03-23,999.25,1002,990.25,991,94685,991,164889,316288,709100,201705
2017-03-22,1001,1003.25,994,999.75,82164,999.75,144057,314697,701457,201705
2017-03-21,1000,1008,995,1001.5,103325,1001.5,175189,314149,699616,201705
2017-03-20,1003.75,1008.75,998.25,999.5,82382,999.5,135390,310795,687993,201705
2017-03-17,1001.5,1004.5,994.25,1000,61551,1000,108073,310061,684280,201705
2017-03-16,1000,1006.5,995.75,1001.5,83777,1001.5,132309,310793,681500,201705
2017-03-15,998.75,1007.75,995.25,998,75422,998,121371,311204,679258,201705
2017-03-14,1006.5,1008,992,999.25,112349,999.25,174039,310614,676014,201705
2017-03-13,1006.25,1010.25,1003.5,1006,75850,1006,129123,316445,679887,201705
2017-03-10,1010.5,1012.75,1003,1006.5,97447,1006.5,182658,319058,680582,201705
2017-03-09,1021,1022.75,1006.25,1011,138732,1011,250363,323609,678068,201705
2017-03-08,1025.25,1027.75,1018.5,1021.75,92218,1021.75,160521,328338,671471,201705
2017-03-07,1037.5,1041.75,1022.25,1025.25,104226,1025.25,171670,334182,676564,201705
2017-03-06,1040,1048.5,1035.75,1037.25,101384,1037.25,165554,343275,686142,201705
2017-03-03,1037,1041,1028.75,1037.5,86051,1037.5,143460,343171,682600,201705
2017-03-02,1050,1051,1032,1037.25,87376,1037.25,153867,345871,683632,201705
2017-03-01,1036.25,1052.25,1035,1051.75,104384,1051.75,174266,350346,686692,201705
2017-02-28,1024.5,1056.25,1023.25,1035.75,227628,1035.75,368293,350383,684523,201705
2017-02-27,1026.25,1029.25,1017,1022,115452,1022,228267,339109,673384,201705
2017-02-24,1023,1027.25,1020,1024.25,122718,1024.25,269139,335420,695459,201705
2017-02-23,1033,1037.5,1021,1022.5,164066,1022.5,386830,328721,721450,201705
2017-02-22,1038,1042.5,1033,1033.5,95919,1033.5,246084,323943,744072,201705
2017-02-21,1044.25,1054.75,1036.75,1037.25,105313,1037.25,300837,321438,756976,201705
2017-02-17,1054,1057.25,1042,1043.25,111621,1043.25,333155,308864,766025,201705
2017-02-16,1070.75,1073.25,1053.5,1054.75,80977,1054.75,267864,310469,777141,201705
2017-02-15,1056,1072.25,1051,1071.75,79735,1071.75,264686,299073,781093,201705
2017-02-14,1065.75,1067,1053.5,1056,77799,1056,241654,290701,772254,201705
2017-02-13,1070.25,1072.75,1061.5,1065.25,174155,1054.25,330275,204777,772796,201703
2017-02-10,1061,1074.5,1058.5,1070,133684,1059,266415,220120,756306,201703
2017-02-09,1068,1072.5,1056,1061.5,141506,1050.5,288462,235735,739511,201703
2017-02-08,1052.75,1070.75,1051,1069.75,166533,1058.75,333052,248998,732101,201703
2017-02-07,1049.25,1054.25,1043,1053.75,131436,1042.75,258472,266423,729898,201703
2017-02-06,1038,1053.5,1037.25,1047,119985,1036,234498,281054,722182,201703
2017-02-03,1047.75,1055.25,1037.25,1038,105988,1027,186178,289130,725067,201703
2017-02-02,1048.25,1052.75,1042.25,1048.25,101520,1037.25,200676,297183,723790,201703
2017-02-01,1035.5,1048.5,1028,1047.75,107158,1036.75,192274,310048,727861,201703
2017-01-31,1034,1037.5,1030.5,1035.5,83518,1024.5,151059,316397,722216,201703
2017-01-30,1055,1055.25,1030.25,1033.75,126814,1022.75,222974,324578,725312,201703
2017-01-27,1058,1063,1054.25,1060.25,68283,1049.25,124070,336797,735128,201703
2017-01-26,1066.5,1069.5,1056.5,1060.5,91972,1049.5,157451,341293,734333,201703
2017-01-25,1068,1071,1061,1066.25,83009,1055.25,141018,348886,735074,201703
2017-01-24,1070.75,1079,1062.25,1069.5,95242,1058.5,163887,350164,728991,201703
2017-01-23,1078.5,1080.75,1066.25,1068.75,92566,1057.75,152288,356227,728312,201703
2017-01-20,1081,1082.25,1071,1078.5,112856,1067.5,212002,354930,722964,201703
2017-01-19,1084,1088.25,1077.75,1081.25,108397,1070.25,211673,354625,720891,201703
2017-01-18,1079,1091,1073.5,1086,144024,1075,299132,351801,710141,201703
2017-01-17,1065,1086.5,1063,1080.25,201105,1069.25,398629,340590,682682,201703
2017-01-13,1048.5,1063.75,1043.5,1057.25,145461,1046.25,265703,325868,653999,201703
2017-01-12,1020.75,1052.25,1017,1051.25,157101,1040.25,259937,323614,641338,201703
2017-01-11,1023.5,1027.5,1012,1022.5,87926,1011.5,138348,317562,628887,201703
2017-01-10,1015.25,1026,1008.25,1024.75,96033,1013.75,155875,321749,628625,201703
2017-01-09,1005.75,1017,1004.5,1016.25,94993,1005.25,154516,313531,619632,201703
2017-01-06,1023.5,1025.75,1004.5,1005.75,101745,994.75,160279,318881,622295,201703
2017-01-05,1025.25,1027,1018.5,1023.5,61979,1012.5,96704,322753,626442,201703
2017-01-04,1006,1026.75,1003.75,1026.25,95237,1015.25,155748,324259,626384,201703
2017-01-03,1015,1022.75,1005.5,1006,90331,995,139400,322713,629759,201703
2016-12-30,1024.5,1029.5,1013.5,1015,86959,1004,154365,323598,630497,201703
2016-12-29,1027.25,1035.25,1022.5,1023.75,88604,1012.75,164645,323719,631799,201703
2016-12-28,1034.75,1039.25,1022.25,1027.5,94731,1016.5,189851,323426,647378,201703
2016-12-27,1009.25,1035.75,1009,1035.25,132809,1024.25,268809,331830,677946,201703
2016-12-23,1015,1017.75,1008,1008.5,90074,997.5,191287,322481,682218,201703
2016-12-22,1028.5,1030,1014,1015,103635,1004,257790,322614,699752,201703
2016-12-21,1027.25,1033.5,1026.25,1028,75957,1017,198750,317275,701708,201703
2016-12-20,1043,1045.75,1025.25,1026.75,100517,1015.75,288339,319041,716574,201703
2016-12-19,1054.75,1060,1041.5,1043,78431,1032,268634,320401,731617,201703
2016-12-16,1050.5,1059,1044,1057.75,52274,1046.75,179452,310440,732461,201703
2016-12-15,1045.25,1059.25,1039.75,1050.25,83662,1039.25,275975,306328,736814,201703
2016-12-14,1049.5,1051.5,1043,1045.5,86077,1034.5,248402,302991,739188,201703
2016-12-13,1053.75,1061,1047.75,1050.5,84408,1039.5,254877,299057,742646,201703
2016-12-12,1064.25,1070,1049,1053.5,145111,1031,269346,198764,733568,201701
2016-12-09,1048.5,1062,1044,1060,136393,1037.5,254125,220542,731764,201701
2016-12-08,1071.5,1071.5,1046,1049.5,171728,1027,317789,236545,726430,201701
2016-12-07,1069.5,1075.5,1062.25,1071.5,127733,1049,246189,267824,736713,201701
2016-12-06,1065,1084.25,1061.5,1070.25,135200,1047.75,256568,286743,736998,201701
2016-12-05,1053,1072.25,1050.25,1066,125624,1043.5,225907,293750,726396,201701
2016-12-02,1055.5,1060.25,1049,1050,84039,1027.5,145769,297090,717480,201701
2016-12-01,1056,1062.5,1044.75,1052.25,128533,1029.75,234743,307524,721371,201701
2016-11-30,1065.5,1075.25,1053.75,1054.75,133965,1032.25,223690,320504,727225,201701
2016-11-29,1077.5,1081.25,1061.75,1065,126698,1042.5,222395,330877,721091,201701
2016-11-28,1065.75,1087.5,1065,1078.5,161412,1056,308254,330776,708745,201701
2016-11-25,1054.5,1069.25,1052,1068.5,76517,1046,148653,329481,694767,201701
2016-11-23,1052.75,1058.25,1039.75,1056.75,136725,1034.25,237474,328725,683565,201701
2016-11-22,1042.5,1055.75,1037.75,1052.5,131446,1030,244694,322944,668531,201701
2016-11-21,1018,1044,1018,1042.75,150570,1020.25,243456,314186,653164,201701
2016-11-18,1011.5,1019,1004.75,1016.25,75940,993.75,126487,290847,622833,201701
2016-11-17,1007.75,1016.25,1003.5,1012,87755,989.5,153014,291657,624123,201701
2016-11-16,1015.75,1020.25,1005.25,1008.25,94098,985.75,155551,295051,621134,201701
2016-11-15,1008,1015.25,1001.25,1012,86739,989.5,126294,297219,617685,201701
2016-11-14,1010.75,1012.25,997.75,1006.75,101692,984.25,148452,297753,615118,201701
2016-11-11,1025,1040.5,999.5,1008.5,216064,986,341159,298601,617389,201701
2016-11-10,1013.5,1041.5,1011.5,1020.5,178459,998,294938,306383,621422,201701
2016-11-09,1032.75,1040,1006.75,1013.5,181090,991,273166,315519,616639,201701
2016-11-08,1021,1043.25,1019.5,1033.75,109864,1011.25,169665,322610,620641,201701
2016-11-07,1013.5,1024.25,1012.5,1021,76174,998.5,112769,315739,613246,201701
2016-11-04,1012.5,1017.25,1006.5,1013.25,76911,990.75,110499,318457,615066,201701
2016-11-03,1008.75,1016.5,1008,1012,81939,989.5,118431,315884,610832,201701
2016-11-02,1014.75,1018.25,1005.5,1009,99163,986.5,147505,314940,611143,201701
2016-11-01,1034,1038.5,1014.25,1015.75,118570,993.25,178518,321211,615146,201701
2016-10-31,1034.5,1040.5,1028.5,1034.25,117811,1011.75,182733,330861,625922,201701
2016-10-28,1046.5,1050.5,1032.5,1034.5,134461,1012,266982,328794,626605,201701
2016-10-27,1041.75,1053.5,1036,1047.5,165244,1025,367843,323823,636781,201701
2016-10-26,1024.25,1044.5,1022.75,1043.5,161120,1021,409867,299387,634481,201701
2016-10-25,1023.5,1030.5,1014.75,1024.75,148312,1002.25,399808,284135,639067,201701
2016-10-24,1014.5,1031.5,1011.75,1024.75,124122,1002.25,383308,263871,639991,201701
2016-10-21,1009,1017,1007.25,1015.75,140150,983,229057,150630,641765,201611
2016-10-20,1014,1022.5,1006,1008.25,136370,975.5,255812,222392,696287,201611
2016-10-19,1004.75,1015.5,1003.75,1014.25,133115,981.5,234081,229943,689782,201611
2016-10-18,1010.25,1019.75,1004.25,1005.25,178280,972.5,318671,242535,687868,201611
2016-10-17,994.5,1011.75,993.75,1011,158663,978.25,257769,252451,683707,201611
2016-10-14,988.25,1007,984.75,995.25,186056,962.5,319680,265250,688004,201611
2016-10-13,978.75,992.25,970,989,178127,956.25,301576,269286,684059,201611
2016-10-12,985.75,1004,976,978.25,233145,945.5,404568,272975,665034,201611
2016-10-11,986.25,993.5,984.25,987,147788,954.25,259602,280393,652265,201611
2016-10-10,988.5,997,982.75,987.25,133359,954.5,224616,292833,655626,201611
2016-10-07,991.5,1006,988,989.5,173884,956.75,308425,297623,647884,201611
2016-10-06,988.75,992.5,980,991.25,114537,958.5,182677,310522,650985,201611
2016-10-05,996.25,1000.25,983.25,989.5,139606,956.75,226628,311421,647803,201611
2016-10-04,1003.5,1004.75,993,996.25,123524,963.5,196300,322962,651042,201611
2016-10-03,985.25,1007.75,979.25,1005.75,139848,973,206731,327816,653345,201611
2016-09-30,982.75,991.25,975.75,986.75,155973,954,244922,324636,644106,201611
2016-09-29,979.75,990,978.75,983,101651,950.25,150807,328452,647554,201611
2016-09-28,984.5,988.5,977.25,978.25,114901,945.5,184786,335903,647428,201611
2016-09-27,979.5,986.25,966.75,985.25,153261,952.5,250637,337629,645605,201611
2016-09-26,984.25,993,976.5,978,114173,945.25,163448,340606,640698,201611
2016-09-23,1007.75,1009,985.25,987.75,138512,955,212422,348353,647215,201611
2016-09-22,1007.75,1016.25,1003,1009.25,90697,976.5,128344,347674,644069,201611
2016-09-21,1021,1023,1004.25,1008.25,104727,975.5,161115,352440,643935,201611
2016-09-20,1006.25,1026.75,1003.5,1022.5,116064,989.75,178212,359254,650105,201611
2016-09-19,1003.25,1014,999,1005.25,96833,972.5,131755,352615,642138,201611
2016-09-16,981.75,1001.75,978.5,998.75,102819,966,159626,353156,638759,201611
2016-09-15,975.75,985.75,974,983.25,76306,950.5,119705,352209,635649,201611
2016-09-14,977,980.75,973.25,975.5,99458,942.75,172134,353289,635464,201611
2016-09-13,997.75,1003.75,975.25,976.75,110508,944,211806,351618,625277,201611
2016-09-12,1010.75,1022.75,991.5,997,139686,964.25,204171,350487,621132,201611
2016-09-09,1010.25,1015.75,1004.75,1013,75915,980.25,115764,357874,629088,201611
2016-09-08,1009.25,1016.5,1003,1009.5,82965,976.75,130879,359204,626078,201611
2016-09-07,991.5,1011,991,1008.25,84670,975.5,119911,361589,622903,201611
2016-09-06,985.25,996.75,979.25,992.5,83245,959.75,121558,367710,628449,201611
2016-09-02,977.75,988.25,977.25,985.25,73177,952.5,98255,369928,629263,201611
2016-09-01,975,981.25,969.75,976.5,81080,943.75,112892,372317,631189,201611
2016-08-31,984.75,989,970.75,975.75,107023,943,148891,371218,629954,201611
2016-08-30,997.25,1001.25,979.25,983.5,104751,950.75,156857,376530,632779,201611
